#OTU ID	A-13MAR20
OTU1	1
OTU2	1
OTU3	1
OTU4	1
OTU5	1
OTU6	1
OTU7	1
OTU8	1
OTU9	1
OTU10	1
OTU11	1
OTU12	1
OTU13	1
OTU14	1
OTU15	1
OTU16	1
OTU17	1
OTU18	1
OTU19	1
OTU20	1
OTU21	1
OTU22	1
OTU23	1
OTU24	1
OTU25	1
OTU26	1
OTU27	1
OTU28	1
OTU29	1
OTU30	1
OTU31	1
OTU32	1
OTU33	1
OTU34	1
OTU35	1
OTU36	1
OTU37	1
OTU38	1
OTU39	1
OTU40	1
OTU41	1
OTU42	1
OTU43	1
OTU44	1
OTU45	1
OTU46	1
OTU47	1
OTU48	1
OTU49	1
OTU50	1
OTU51	1
OTU52	1
OTU53	1
OTU54	1
OTU55	1
OTU56	1
OTU57	1
OTU58	1
OTU59	1
OTU60	1
OTU61	1
OTU62	1
OTU63	1
OTU64	1
OTU65	1
OTU66	1
OTU67	1
OTU68	1
OTU69	1
OTU70	1
OTU71	1
OTU72	1
OTU73	1
OTU74	1
OTU75	1
OTU76	1
OTU77	1
OTU78	1
OTU79	1
OTU80	1
OTU81	1
OTU82	1
OTU83	1
OTU84	1
OTU85	1
OTU86	1
OTU87	1
OTU88	1
OTU89	1
OTU90	1
OTU91	1
OTU92	1
OTU93	1
OTU94	1
OTU95	1
OTU96	1
OTU97	1
OTU98	1
OTU99	1
OTU100	1
OTU101	1
OTU102	1
OTU103	1
OTU104	1
OTU105	1
OTU106	1
OTU107	1
OTU108	1
OTU109	1
OTU110	1
OTU111	1
OTU112	1
OTU113	1
OTU114	1
OTU115	1
OTU116	1
OTU117	1
OTU118	1
OTU119	1
OTU120	1
OTU121	1
OTU122	1
OTU123	1
OTU124	1
