#OTU ID	A-13MAR20
OTU1	33048
OTU2	23382
OTU3	16514
OTU4	2966
OTU5	1840
OTU6	1780
OTU7	1045
OTU8	1342
OTU9	902
OTU10	1332
OTU11	436
OTU12	107
OTU13	6533
OTU14	54
OTU15	49
OTU16	51
OTU17	54
OTU18	134
OTU19	32
OTU20	28
OTU21	75
OTU22	25
OTU23	27
OTU24	19
OTU25	16
OTU26	38
OTU27	16
OTU28	12
OTU29	13
OTU30	824
OTU31	23
OTU32	6
OTU33	12
OTU34	6347
OTU35	7
OTU36	4
OTU37	12
OTU38	4
OTU39	15
OTU40	3
OTU41	7
OTU42	5
OTU43	6
OTU44	5
OTU45	15
OTU46	9
OTU47	24
OTU48	2
OTU49	4
OTU50	4
OTU51	3
OTU52	5
OTU53	4
OTU54	3
OTU55	2
OTU56	2
OTU57	5
OTU58	21
OTU59	2
OTU60	3
OTU61	2
OTU62	5
OTU63	7
OTU64	2
OTU65	4
OTU66	5
OTU67	2
OTU68	69
OTU69	47
OTU70	154
OTU71	10
OTU72	2
OTU73	5
OTU74	2
OTU75	3
OTU76	2
OTU77	2
OTU78	1
OTU79	2
OTU80	2
OTU81	18
OTU82	1
OTU83	1
OTU84	1
OTU85	2
OTU86	6
OTU87	1
OTU88	60
OTU89	4
OTU90	68
OTU91	1
OTU92	1
OTU93	1
OTU94	2
OTU95	4
OTU96	2
OTU97	2
OTU98	1
OTU99	3
OTU100	2
OTU101	3
OTU102	1
OTU103	1
OTU104	180
OTU105	1
OTU106	2
OTU107	1
OTU108	2
OTU109	2
OTU110	1
OTU111	1
OTU112	2
OTU113	2
OTU114	2
OTU115	1
OTU116	1
OTU117	1
OTU118	1
OTU119	1
OTU120	4
OTU121	1
OTU122	1
OTU123	2
OTU124	19
