#OTU ID	A-13MAR20
OTU1	53553
OTU2	37890
OTU3	26760
OTU4	4806
OTU5	2981
OTU6	2885
OTU7	1693
OTU8	2174
OTU9	1462
OTU10	2158
OTU11	707
OTU12	173
OTU13	10586
OTU14	88
OTU15	79
OTU16	82
OTU17	87
OTU18	217
OTU19	52
OTU20	45
OTU21	121
OTU22	40
OTU23	43
OTU24	30
OTU25	26
OTU26	62
OTU27	26
OTU28	19
OTU29	21
OTU30	1336
OTU31	37
OTU32	9
OTU33	19
OTU34	10285
OTU35	12
OTU36	6
OTU37	19
OTU38	7
OTU39	24
OTU40	5
OTU41	11
OTU42	8
OTU43	10
OTU44	8
OTU45	25
OTU46	14
OTU47	39
OTU48	4
OTU49	6
OTU50	7
OTU51	5
OTU52	8
OTU53	7
OTU54	5
OTU55	4
OTU56	4
OTU57	8
OTU58	34
OTU59	4
OTU60	5
OTU61	3
OTU62	8
OTU63	12
OTU64	3
OTU65	6
OTU66	8
OTU67	3
OTU68	112
OTU69	76
OTU70	250
OTU71	16
OTU72	4
OTU73	8
OTU74	4
OTU75	5
OTU76	3
OTU77	3
OTU78	2
OTU79	3
OTU80	3
OTU81	29
OTU82	2
OTU83	2
OTU84	2
OTU85	4
OTU86	9
OTU87	2
OTU88	97
OTU89	6
OTU90	111
OTU91	2
OTU92	2
OTU93	2
OTU94	3
OTU95	6
OTU96	3
OTU97	3
OTU98	2
OTU99	5
OTU100	3
OTU101	5
OTU102	2
OTU103	2
OTU104	291
OTU105	2
OTU106	3
OTU107	2
OTU108	4
OTU109	3
OTU110	2
OTU111	2
OTU112	3
OTU113	3
OTU114	3
OTU115	2
OTU116	2
OTU117	2
OTU118	2
OTU119	2
OTU120	6
OTU121	2
OTU122	2
OTU123	3
OTU124	30
