#OTU ID	A-13MAR20	Taxonomy
OTU1	53553	GS|100.0|AB242142_S000650604;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU2	37890	GS|100.0|CR626927_S000528922;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU3	26760	GS|100.0|AB064923_S000768314;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Prevotellaceae",g:Prevotella;
OTU4	4806	GS|100.0|AB050110_S000001704;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU5	2981	GS|100.0|X83953_S000010358;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU6	2885	GS|100.0|AY126616_S000546342;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU7	1693	GS|100.0|AJ583243_S000591691;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU8	2174	GS|100.0|X83951_S000014216;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU9	1462	GS|100.0|AB260026_S000804233;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU10	2158	GS|98.7|AB050107_S000004024;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU11	707	GS|100.0|AB200224_S000530402;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU12	173	SS|1.0000|AB331896_S001239095;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Prevotellaceae",g:Paraprevotella
OTU13	10586	GS|99.3|AE015928_S000628241;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU14	88	SS|1.0000|JN703378_S003619179;k:Bacteria,p:"Bacteroidetes"
OTU15	79	GS|98.8|X96966_S000000258;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:"Enterobacteriales",f:Enterobacteriaceae,g:Escherichia/Shigella;
OTU16	82	GS|100.0|M58743_S000436354;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium;
OTU17	87	GS|99.3|AY608696_S000451793;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
OTU18	217	GS|97.3|AB050107_S000004024;k:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides;
